track_title,lyric
Holy Ground (Taylor's Version),"[Verse 1]
I was reminiscing just the other day
While having coffee all alone
And Lord it took me away
Back to a first-glance feeling on New York time
Back when you fit my poems like a perfect rhyme
Took off faster than a green light, go
Yeah you skip the conversation when you already know
I left a note on the door with a joke we'd made
And that was the first day

[Chorus]
And darling it was good
Never looking down
And right there where we stood
Was holy ground

[Verse 2]
Spinning like a girl in a brand new dress
We had this big wide city all to ourselves
W? block the noise with the sound of ""I need you""
And for th? first time I had something to lose
And I guess we fell apart in the usual way
And the story's got dust on every page
But sometimes I wonder how you think about it now
And I see your face in every crowd
[Chorus]
'Cause darling, it was good
Never looking down
And right there where we stood
Was holy ground

[Bridge]
Tonight, I'm gonna dance
For all that we've been through
But I don't want to dance
If I'm not dancing with you
Tonight, I'm gonna dance
Like you were in this room
But I don't want to dance
If I'm not dancing with you

[Chorus]
It was good
Never looking down
And right there where we stood
Was holy ground

[Outro]
Tonight, I'm gonna dance
For all that we've been through
But I don't want to dance
If I’m not dancing with you
Tonight, I'm gonna dance
Like you were in this room
But I don't want to dance
If I’m not dancing with you"
Sad Beautiful Tragic (Taylor's Version),"[Verse 1]
Long handwritten notes, deep in your pocket
Words, how little they mean, when you're a little too late
I stood right by the tracks, your face in a locket
Good girls, hopeful they'll be and long they will wait

[Chorus]
We had a beautiful magic love there
What a sad, beautiful, tragic love affair

[Verse 2]
In dreams, I meet you in warm conversation
And we both wake in lonely beds, different cities
And time is taking its sweet time erasing you
And you've got your demons
And darling, they all look like me

[Chorus]
'Cause w? had a beautiful magic love ther?
What a sad, beautiful, tragic love affair (Whoa, oh, whoa, oh)

[Bridge]
Distance, timing, breakdown, fighting
Silence, the train runs off its tracks
Kiss me, try to fix it, could you just try to listen?
Hang up, give up, and for the life of us we can't get back
A beautiful magic love there
What a sad, beautiful, tragic, beautiful, tragic, beautiful
[Chorus]
What we had, a beautiful magic love there
What a sad, beautiful, tragic, love affair
We had a beautiful magic love there
What a sad, beautiful, tragic love affair"
The Lucky One (Taylor's Version),"[Verse 1]
New to town with a made-up name
In the angel's city, chasing fortune and fame
And the camera flashes make it look like a dream
You had it figured out since you were in school
Everybody loves pretty, everybody loves cool
So overnight, you look like a sixties queen

[Pre-Chorus]
Another name goes up in lights
Like diamonds in the sky

[Chorus]
And they'll tell you now, you're the lucky one
Yeah, they'll tell you now, you're the lucky one
But can you tell me now, you're the lucky one?
Oh, oh, oh

[Verse 2]
Now, it's big black cars and Riviera views
And your lover in the foyer doesn't even know you
And your secrets end up splashed on the news front page
And they tell you that you're lucky, but you're so confused
'Cause you don't feel pretty, you just feel used
And all the young things line up to take your place
[Pre-Chorus]
Another name goes up in lights
You wonder if you'll make it out alive

[Chorus]
And they'll tell you now, you're the lucky one
Yeah, they'll tell you now, you're the lucky one
But can you tell me now, you're the lucky one?
Oh, oh, oh
Oh, oh, oh

[Verse 3]
It was a few years later, I showed up here
And they still tell the legend of how you disappeared
How you took the money and your dignity, and got the hell out
They say you bought a bunch of land somewhere
Chose the rose garden over Madison Square
And it took some time, but I understand it now

[Pre-Chorus]
'Cause now my name is up in lights
But I think you got it right

[Chorus]
Let me tell you now, you're the lucky one
Let me tell you now, you're the lucky one
Let me tell you now, you're the lucky one, oh, oh, oh
Yeah, they'll tell you now, you're the lucky one
Yeah, they'll tell you now, you're the lucky one
Let me tell you now, you're the lucky one, oh, oh, oh
Oh, oh, whoa, oh, oh"
Everything Has Changed (Taylor's Version) (Ft. Ed Sheeran),"[Intro: Ed Sheeran]
(You good to go?)

[Verse 1: Taylor Swift]
All I knew this morning when I woke
Is I know something now
Know something now I didn't before
And all I've seen since 18 hours ago
Is green eyes and freckles and your smile
In the back of my mind, making me feel like

[Pre-Chorus: Taylor Swift, Taylor Swift & Ed Sheeran]
I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you, know you, know you

[Chorus: Taylor Swift & Ed Sheeran]
'Cause all I know is we said, ""Hello""
And your eyes look like coming home
All I know is a simpl? name
Everything has changed
All I know is you h?ld the door
You'll be mine and I'll be yours
All I know since yesterday
Is everything has changed
[Verse 2: Ed Sheeran & Taylor Swift]
And all my walls stood tall, painted blue
And I'll take 'em down, take 'em down
And open up the door for you
And all I feel in my stomach is butterflies
The beautiful kind, makin' up for lost time
Takin' flight, making me feel like

[Pre-Chorus: Taylor Swift & Ed Sheeran]
I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you, know you, know you

[Chorus: Taylor Swift & Ed Sheeran]
'Cause all I know is we said, ""Hello""
And your eyes look like coming home
All I know is a simple name
Everything has changed
All I know is you held the door
You'll be mine and I'll be yours
All I know since yesterday
Is everything has changed
[Bridge: Taylor Swift & Ed Sheeran]
Come back and tell me why
I'm feeling like I've missed you all this time
And meet me there tonight
And let me know that it's not all in my mind

[Pre-Chorus: Taylor Swift]
I just wanna know you better
Know you better, know you better now
I just wanna know you, know you, know you

[Chorus: Taylor Swift & Ed Sheeran]
All I know is we said, ""Hello""
And your eyes look like coming home
All I know is a simple name
Everything has changed
All I know is you held the door
And you'll be mine and I'll be yours
All I know since yesterday
Is everything has changed

[Outro: Taylor Swift, Taylor Swift & Ed Sheeran]
All I know is we said, ""Hello""
So dust off your highest hopes
All I know is pouring rain
And everything has changed
All I know is a new found grace
All my days, I'll know your face
All I know since yesterday
Is everything has changed"
Starlight (Taylor's Version),"[Chorus]
I said, ""Oh my, what a marvelous tune""
It was the best night
Never would forget how he moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight
Like we're made of starlight

[Verse 1]
I met Bobby on the boardwalk, summer of '45
Picks me up late one night
Out the window, we were seventeen and crazy, running wild, wild
Can't remember what song it was playing wh?n we walked in
The night w? snuck into a yacht club party
Pretending to be a duchess and a prince

[Chorus]
And I said, ""Oh my, what a marvelous tune""
It was the best night, never would forget how he moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight

[Verse 2]
He said, ""Look at you, worrying too much about things you can't change
You'll spend your whole life singing the blues if you keep thinking that way""
He was trying to skip rocks on the ocean, saying to me
""Don't you see the starlight, starlight?
Don't you dream impossible things?""
[Chorus]
Like, ""Oh my, what a marvelous tune""
It was the best night, never would forget how he moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight

[Bridge]
Ooh-ooh, he's talking crazy
Ooh-ooh, dancing with me
Ooh-ooh, we could get married
Have ten kids and teach them how to dream

[Post-Chorus]
(Ooh, hoo, hoo)
(Ooh, hoo, hoo)
(Ooh, hoo, hoo)
(Ooh, hoo, hoo)

[Chorus]
Oh my, what a marvelous tune
It was the best night, never would forget how he moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight
[Breakdown]
Like we're made of starlight, starlight
Like we dream impossible dreams
Like starlight, starlight
Like we dream impossible dreams

[Outro]
Don't you see the starlight, starlight?
Don't you dream impossible things?"
Begin Again (Taylor's Version),"[Verse 1]
Took a deep breath in the mirror
He didn't like it when I wore high heels, but I do
Turn the lock and put my headphones on
He always said he didn't get this song, but I do, I do
I walked in, expecting you'd be late
But you got here early and you stand and wave
I walk to you
You pull my chair out and help me in
And you don't know how nice that is, but I do

[Chorus]
And you throw your head back laughing like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinking all love ever does is break and burn and end
But on a W?dnesday in a café, I watched it begin again

[Verse 2]
You said you n?ver met one girl who
Had as many James Taylor records as you, but I do
We tell stories and you don't know why
I'm coming off a little shy, but I do

[Chorus]
But you throw your head back laughing like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinking all love ever does is break and burn and end
But on a Wednesday in a café, I watched it begin again
[Bridge]
And we walked down the block to my car
And I almost brought him up
But you start to talk about the movies
That your family watches every single Christmas
And I want to talk about that
And for the first time, what's past is past

[Chorus]
'Cause you throw your head back laughing like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinking all love ever does is break and burn and end
But on a Wednesday in a café, I watched it begin again

[Outro]
On a Wednesday in a café, I watched it begin again"
The Moment I Knew (Taylor's Version),"[Verse 1]
You should've been there
Should've burst through the door
With that ""Baby, I'm right here"" smile
And it would've felt like
A million little shining stars that just align
And I would've been so happy

[Verse 2]
Christmas lights glisten
I've got my eye on the door
Just waiting for you to walk in
But the time is ticking
People ask me how I've been
As I comb back through my memory
How you said you'd be here
You said you'd be here

[Chorus]
And it was like slow motion
Standing there in my party dress
In red lipstick
With no one to impress
And they're all laughing
As I'm looking around the room
But ther? was one thing missing
And that was the moment I kn?w
[Verse 3]
And the hours pass by
Now I just wanna be alone
But your close friends always seem to know
When there's something really wrong
So they follow me down the hall
And there in the bathroom
I try not to fall apart
And the sinking feeling starts
As I say hopelessly
""He said he'd be here""

[Chorus]
And it was like slow motion
Standing there in my party dress
In red lipstick
With no one to impress
And they're all laughing
And asking me about you
But there was one thing missing
And that was the moment I knew

[Bridge]
What do you say
When tears are streaming down your face
In front of everyone you know?
And what do you do
When the one who means the most to you
Is the one who didn't show?
[Breakdown]
You should've been here
And I would've been so happy

[Chorus]
And it was like slow motion
Standing there in my party dress
In red lipstick
With no one to impress
And they're all standing around me, singing
""Happy birthday to you""
But there was one thing missing
And that was the moment I knew
Oh-oh-oh-oh-oh-oh-oh, I knew
Oh-oh-oh-oh-oh-oh-oh

[Outro]
You called me later
And said, ""I'm sorry I didn't make it""
And I said, ""I'm sorry, too""
And that was the moment I knew"
Come Back...Be Here (Taylor's Version),"[Verse 1]
You said it in a simple way
4 AM, the second day
How strange that I don't know you at all
Stumbled through the long goodbye
One last kiss, then catch your flight
Right when I was just about to fall

[Pre-Chorus]
I told myself, don't get attached
But in my mind, I play it back
Spinning faster than the plane that took you

[Chorus]
And this is when the feeling sinks in
I don't wanna miss you like this
Come back, be here, come back, be here
I guess you're in New York today
I don't wanna need you this way
Come back, be here, come back, be here

[Verse 2]
The delicate beginning rush
The feeling you can know so much
Without knowing anything at all
And now that I can put this down
If I had known what I know now
I never would've played so nonchalant
[Pre-Chorus]
Taxi cabs and busy streets
That never bring you back to me
I can't help but wish you took me with you

[Chorus]
And this is when the feeling sinks in
I don't wanna miss you like this
Come back, be here, come back, be here
I guess you're in London today
And I don't wanna need you this way
Come back, be here, come back, be here

[Breakdown]
Oh-oh, oh-oh
Oh-oh, oh-oh
Oh-oh, oh-oh

[Bridge]
This is falling in love in the cruelest way
This is falling for you when you are worlds away
In New York, be here
But you're in London, and I break down
'Cause it's not fair that you're not around

[Chorus]
This is when the feeling sinks in
I don't wanna miss you like this
Come back, be here, come back, be here
I guess you're in New York today
And I don't wanna need you this way
Come back, be here, come back, be here
[Outro]
Oh-oh, oh-oh
I don't wanna miss you like this
Oh-oh, oh-oh
Come back, be here
Come back, be here"
Girl At Home (Taylor's Version),"[Intro]
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that, ah-ah
Don’t look at me, you got a girl at home
And everybody knows that

[Verse 1]
I don't even know her
But I feel a responsibility
To do what's upstanding and right
It’s kinda like a code, yeah
And you've been getting closer and closer
And crossing so many lines

[Pre-Chorus]
And it would be a fine proposition
If I was a stupid girl
But, honey, I am no one's exception
This, I have previously learned

[Chorus]
So don't look at me, you got a girl at home
And everybody knows that, everybody knows that, ah-ah
Don't look at me, you got a girl at home
And everybody knows that, ?verybody knows that
I see you turn off your phone
And now you've got m? alone, and I say
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that
[Verse 2]
I just wanna make sure
You understand perfectly
You're the kind of man who makes me sad
While she waits up
You chase down the newest thing
And take for granted what you have

[Pre-Chorus]
And it would be a fine proposition
If I was a stupid girl
And, yeah, I might go with it
If I hadn’t once been just like her

[Chorus]
So don’t look at me, you got a girl at home
And everybody knows that, everybody knows that, ah-ah
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that
I see you turn off your phone
And now you’ve got me alone, and I say
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that

[Post-Chorus]
Oh-oh
Oh-oh
[Bridge]
Call a cab, lose my number
You're about to lose your girl
Call a cab, lose my number
Let's consider this lesson learned

[Chorus]
Don’t look at me, you got a girl at home
And everybody knows that, everybody knows that, ah-ah
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that
Wanna see you pick up your phone
And tell her you're coming home
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that

[Outro]
It would be a fine proposition
If I hadn't once been just like her"
State Of Grace (Acoustic Version) [Taylor's Version],"[Verse 1]
I'm walking fast through the traffic lights
Busy streets and busy lives
And all we know is touch and go
We are alone with our changing minds
We fall in love 'til it hurts or bleeds
Or fades in time

[Chorus]
And I never
Saw you comin'
And I'll never
Be the same

[Verse 2]
You come around and the armor falls
Pierce the room like a cannonball
Now all we know is don’t let go
We are alone, just you and me
Up in your room and our slates are clean
Just twin fire signs, four blue eyes

[Pre-Chorus]
So you were never a saint
And I've loved in shad?s of wrong
We learn to live with th? pain
Mosaic broken hearts
But this love is brave and wild
[Chorus]
I never
Saw you comin'
And I'll never
Be the same

[Bridge]
This is a state of grace
This is the worthwhile fight
Love is a ruthless game
Unless you play it good and right
These are the hands of fate
You're my Achilles heel
This is the golden age of something good and right and real

[Chorus]
And I never
Saw you comin'
And I'll never
Be the same, oh
Oh, I never
Saw you comin'
And I'll never
Be the same

[Outro]
This is a state of grace
This is the worthwhile fight
Love is a ruthless game
Unless you play it good and right"
Ronan (Taylor's Version),"[Verse 1]
I remember your bare feet, down the hallway
I remember your little laugh
Race cars on the kitchen floor, plastic dinosaurs
I love you to the moon and back
I remember your blue eyes looking into mine
Like we had our own secret club
I remember you dancing before bedtime
Then jumping on me, waking me up
I can still feel you hold my hand, little man
And even the moment I knew
You fought it hard like an army guy
Remember I leaned in and whispered to you

[Chorus]
""Come on, baby, with me
We're going to fly away from here
You were my best four years""

[Verse 2]
I remember the drive home
When the blind hope turned to crying and screaming, ""Why?""
Flowers pile up in the worst way, no one knows what to say
About a beautiful boy who died
And it's about to be Halloween
You could be anything you wanted if you were still here
I remember the last day, when I kissed your face
And whispered in your ear
[Chorus]
""Come on, baby, with me
We're going to fly away from here
Out of this curtained room and this hospital gray, we'll just disappear
Come on, baby, with me
We're going to fly away from here
You were my best four years""

[Bridge]
What if I'm standing in your closet trying to talk to you?
And what if I kept the hand-me-downs you won't grow into?
And what if I really thought some miracle would see us through?
What if the miracle was even getting one moment with you?

[Chorus]
Come on, baby, with me
We're going to fly away from here
Come on, baby, with me
We're going to fly away from here
You were my best four years

[Outro]
I remember your bare feet, down the hallway
I love you to the moon and back"
Better Man (Taylor's Version) [From the Vault],"[Verse 1]
I know I'm probably better off on my own
Than lovin’ a man who didn't know what he had when he had it
And I see the permanent damage you did to me
Never again, I just wish I could forget when it was magic

[Pre-Chorus]
I wish it wasn't 4 AM, standing in the mirror
Saying to myself, ""You know you had to do it""
I know the bravest thing I ever did was run

[Chorus]
Sometimes, in the middle of the night, I can feel you again
But I just miss you, and I just wish you were a better man
And I know why we had to say goodbye like the back of my hand
But I just miss you, and I just wish you were a better man
A better man

[Verse 2]
I know I’m probably better off all alone
Than needing a man who could change his mind
At any given minute
And it was always on your terms
I waited on every careless word
Hoping they might turn sweet again
Like it was in the beginning
[Pre-Chorus]
But your jealousy, oh, I can hear it now
Talking down to me like I'd always be around
Push my love away like it was some kind of loaded gun
Oh, you never thought I'd run

[Chorus]
Sometimes, in the middle of the night, I can feel you again
But I just miss you, and I just wish you were a better man
And I know why we had to say goodbye, like the back of my hand
But I just miss you, and I just wish you were a better man
A better man

[Bridge]
I hold onto this pride because these days it's all I have
And I gave to you my best and we both know you can't say that
I wish you were a better man
I wonder what we would've become
If you were a better man
We might still be in love
If you were a better man
You would've been the one
If you were a better man
Yeah, yeah

[Chorus]
Sometimes, in the middle of the night, I can feel you again
But I just miss you, and I just wish you were a better man
And I know why we had to say goodbye, like the back of my hand
But I just miss you, and I just wish you were a better man
A better man
(Sometimes, in the middle of the night, I can feel you again)
We might still be in love, if you were a better man
(But I just miss you and I just wish you were a better man)
Yeah, yeah
I know why we had to say goodbye like the back of my hand
But I just miss you and I just wish you were a better man
A better man
[Outro]
We might still be in love
If you were a better man
You would've been the one
If you were a better man"
Nothing New (Taylor's Version) [From the Vault] (Ft. Phoebe Bridgers),"[Verse 1: Taylor Swift]
They tell you while you're young
""Girls, go out and have your fun""
Then they hunt and?slay?the ones who?actually do it
Criticize the way you?fly
When you're soaring through the sky
Shoot you down and then they sigh
And say, ""She looks like she's been through it""
Lord, what will become of me
Once I've lost my novelty?

[Chorus: Taylor Swift]
I've had too much to drink tonight
And I know it's sad but this is what I think about
And I wake up in the middle of the night
It's like I can feel time moving
How can a person know everything at eighteen
But nothing at twenty-two?
And will you still want me when I'm nothing new?

[Verse 2: Phoebe Bridgers & Taylor Swift]
How long will it be cute, all this crying in my room?
When you can't blame it on my youth
And roll your eyes with affection
And my cheeks are growing tired
From turning red and faking smiles
Are we only biding time 'til I lose your attention
And someone else lights up the room? (Ahh)
People love an ingénue (Ahh)
[Chorus: Phoebe Bridgers & Taylor Swift]
I've had (I've had) too much to drink tonight
How did I go from growing up to breaking down?
And I wake up (Wake up) in the middle of the night
It's like I can feel time moving
How can a person know everything at eighteen
But nothing at twenty-two?
And will you still want me when I'm nothing new?

[Bridge: Taylor Swift & Phoebe Bridgers]
I know someday I'm gonna meet her
It's a fever dream
The kind of radiance you only have at seventeen
She'll know the way and then she'll say she got the map from me
I'll say I'm happy for her then I'll cry myself to sleep
Oh woah ohh, oh woah ohh, oh, oh

[Chorus: Taylor Swift & Phoebe Bridgers]
I've had (I've had) too much to drink tonight
But I wonder if they'll miss me once they drive me out
I wake up (Wake up) in the middle of the night
And I can feel time moving
How can a person know everything at eighteen
But nothing at twenty-two?
And will you still want me, will you still want me
Will you still want me when I'm nothing new?"
Babe (Taylor's Version) [From the Vault],"[Intro]
What about your promises, promises?
What about your promises, promises, promises? (No)

[Verse 1]
What a shame
Didn't wanna be the one that got away, yeah
Big mistake, you broke the sweetest promise
That you never should have made

[Pre-Chorus]
I'm here on the kitchen floor
You call, but I won't hear it
You said, ""No one else""
How could you do this, babe? (What about your promises, promises?)

[Chorus]
You really blew this, babe
We ain't getting through this one, babe
This is the last time I'll ever call you, babe (This is the last time, this is the last time)
This is the last time I'll ever call you, babe
(What about your promises, promises, promises?)

[Verse 2]
What a waste
Takin' down the pictures and the plans we made, yeah
And it's strange how your face doesn't look so innocent
Your secret has its consequence and that's on you, babe
[Pre-Chorus]
I break down every time you call
We're a wreck, you're the wrecking ball
We said, ""No one else""
How could you do this, babe? (What about your promises, promises?)

[Chorus]
You really blew this, babe
We ain't getting through this one, babe
This is the last time I'll ever call you, babe (This is the last time, this is the last time)
This is the last time I'll ever call you

[Bridge]
Since you admitted it, I keep picturing
Her lips on your neck, I can't unsee it
I hate that because of you, I can't love you, babe
What a shame, didn't want to be the one that got away
How could you do this, babe?

[Chorus]
You really blew this, babe
We ain't getting through this one, babe
This is the last time I'll ever call you, babe (This is the last time, this is the last time)
This is the last time I'll ever call you, babe

[Outro]
I'm here on the kitchen floor, you call but I won't hear it
You said, ""No one else""
We ain't getting through this one, babe
I break down every time you call
We're a wreck, you're the wrecking ball
You said, ""No one else""
This is the last time I'll ever call you, babe
(What about your promises, promises, promises?)"
Message In A Bottle (Taylor's Version) [From The Vault],"[Verse 1]
I know that you like me
And it's kinda frightenin' standin' here waitin', waitin'
And I became hypnotized by freckles and bright eyes, tongue-tied

[Pre-Chorus]
But now you're so far away and I'm down
Feelin' like a face in the crowd
I'm reachin' for you, terrified

[Chorus]
'Cause you could be the one that I love
I could be the one that you dream of
A message in a bottle is all I can do
Standin' here, hopin' it gets to you
You could be the one that I keep, and I
I could be the reason you can't sleep at night
A m?ssage in a bottle is all I can do
Standin' her?, hopin' it gets to you

[Verse 2]
These days I'm restless
Workdays are endless, look how you made me, made me
But time moves faster, replaying your laughter, disaster

[Pre-Chorus]
'Cause now you're so far away and I'm down
Feelin' like a face in the crowd
I'm reachin' for you, terrified, 'cause
[Chorus]
'Cause you could be the one that I love
I could be the one that you dream of
A message in a bottle is all I can do
Standin' here, hopin' it gets to you (It gets to you)
You could be the one that I keep, and I (I)
I could be the reason you can't sleep at night (At night)
A message in a bottle is all I can do
Standin' here, hopin' it gets to you

[Bridge]
How is it in London? (London)
Where were you while I'm wondering (Wondering)
If I'll ever see you again?
You could be the one that I love, mm-mm
And now I'm standin' here, hopin' it gets to you

[Chorus]
'Cause you could be the one that I love (Yeah, yeah)
I could be the one that you dream of
A message in a bottle is all I can do
Standin' here, hopin' it gets to you (It gets to you)
You could be the one that I keep, and I
I could be the reason you can't sleep at night (You can't sleep at night)
A message in a bottle is all I can do (Yeah, yeah)
Standin' here, hopin' it gets to you (Yeah, yeah)
[Outro]
You could be the one that I love
You could be the one that I love, I love
And now I'm standin' here, hopin' this gets to you"
I Bet You Think About Me (Taylor's Version) [From the Vault] (Ft. Chris Stapleton),"[Verse 1: Taylor Swift]
3 AM and I'm still awake, I'll bet you're just fine
Fast asleep in your city that's better than mine
And the girl in your bed has a fine pedigree
And I'll bet your friends tell you she's better than me, huh

[Verse 2: Taylor Swift]
Well, I tried to fit in with your upper-crust circles
Yeah, they let me sit in back when we were in love
Oh, they sit around talkin' about the meaning of life
And the book that just saved 'em that I hadn't heard of

[Chorus: Taylor Swift & Chris Stapleton, Taylor Swift]
But now that we're done and it's over
I bet you couldn't believe
When you realized I'm harder to forget than I was to leave
And I bet you think about me

[Verse 3: Taylor Swift]
You grew up in a silver-spoon gated community
Glamorous, shiny, bright Beverly Hills
I was raised on a farm, no, it wasn't a mansion
Just livin' room dancin' and kitchen table bills

[Verse 4: Taylor Swift & Chris Stapleton]
But you know what they say, you can't help who you fall for
And you and I fell like an early spring snow
But reality crept in, you said we're too different
You laughed at my dreams, rolled your eyes at my jokes
[Chorus: Taylor Swift & Chris Stapleton, Taylor Swift]
Mr. Superior Thinkin'
Do you have all the space that you need?
I don't have to be your shrink to know that you'll never be happy
And I bet you think about me

[Post-Chorus: Taylor Swift, Taylor Swift & Chris Stapleton]
I bet you think about me, yes
I bet you think about me

[Bridge: Taylor Swift & Chris Stapleton, Taylor Swift]
Oh, block it all out
The voices so loud, sayin'
""Why did you let her go?""
Does it make you feel sad
That the love that you're lookin' for
Is the love that you had?

[Verse 5: Taylor Swift]
Now you're out in the world, searchin' for your soul
Scared not to be hip, scared to get old
Chasing make-believe status, last time you felt free
Was when none of that shit mattered 'cause you were with me

[Chorus: Taylor Swift & Chris Stapleton, Taylor Swift]
But now that we're done and it's over
I bet it's hard to believe
But it turned out I'm harder to forget than I was to leave
And, yeah, I bet you think about me
[Post-Chorus: Taylor Swift, Taylor Swift & Chris Stapleton]
I bet you think about me, yes
I bet you think about me

[Outro: Taylor Swift, Taylor Swift & Chris Stapleton]
I bet you think about me when you're out
At your cool indie music concerts every week
I bet you think about me in your house
With your organic shoes and your million-dollar couch
I bet you think about me when you say
""Oh my god, she's insane, she wrote a song about me""
I bet you think about me"
Forever Winter (Taylor's Version) [From the Vault],"[Verse 1]
He says he doesn't believe anything much he hears these days
He says, ""Why fall in love, just so you can watch it go away?""
He spends most of his nights wishing it was how it used to be
He spends most of his flights getting pulled down by gravity

[Pre-Chorus]
I call, just checking up on him
He's up, 3 AM, pacing
He says, ""It's not just a phase I'm in""
My voice comes out begging

[Chorus]
All this time I didn't know
You were breaking down
I'd fall to pieces on the floor
If you weren't around
Too young to know it gets better
I'll be summer sun for you forever
Forever winter if you go

[Verse 2]
He seems fine most of the time
Forcing smiles and never minds
His laugh is a symphony
When the lights go out, it's hard to breathe
I pull at every thread trying to solve the puzzles in his head
Live my life scared to death he'll decide to leave instead
[Pre-Chorus]
I call, just checking up on him
He's up, 5 AM, wasted
Long gone, not even listening
My voice comes out screaming

[Chorus]
All this time I didn't know
You were breaking down
I'd fall to pieces on the floor
If you weren't around
Too young to know it gets better
I'll be summer sun for you forever
Forever winter if you go

[Bridge]
If I was standing there in your apartment
I'd take that bomb in your head and disarm it
I'd say I love you even at your darkest and
Please don't go

[Chorus]
I didn't know
You were breaking down
I'd fall to pieces on the floor
If you weren’t around
Too young to know it gets better
I'll be summer sun for you forever
Forever winter if you go
[Post-Chorus]
I'll be your summer sun forever
At 3 AM, pacing
All this time I didn't know
At 5 AM, wasted
I'd be in pieces on the floor
Forever winter if you go

[Outro]
He says he doesn't believe anything much he hears these days
I say, ""Believe in one thing, I won't go away"""
Run (Taylor's Version) [From the Vault] (Ft. Ed Sheeran),"[Intro: Ed Sheeran]
One, two, three, four

[Verse 1: Taylor Swift with Ed Sheeran]
Give me the keys, I'll bring the car back around
We shouldn't be in this town
And my so-called friends, they don't know
I'd drive away before I let you go
So give me a reason and don't say no, no
There's a chain 'round your throat, piece of paper where I wrote
""I'll wait for you""
There's a key on the chain, there's a picture in a frame
Take it with you

[Chorus: Taylor Swift & Ed Sheeran]
And run, like you'd run from the law
Darling, let's run
Run from it all
We can go where our eyes can take us
Go where no one else is, run
Ooh, we'll run
Ooh, we'll run
Ooh, we'll run

[Verse 2: Taylor Swift, Ed Sheeran & Both]
So you laugh like a child
And I'll sing like no one cares
No one to be, no one to tell
I could see this view a hundred times
Pale blue sky reflected in your eyes
So give me a reason and don't say no, no
And the note from the locket, you keep it in your pocket
Since I gave it to you
There's a heart on your sleeve
I'll take it when I leave
And hold it for you
[Chorus: Taylor Swift & Ed Sheeran]
And run, like you'd run from the law
Darling, let's run
Run from it all
We can go like they're trying to chase us
Go where no one else is, run
Ooh, we'll run
Ooh, we'll run
Ooh, we'll run

[Bridge: Ed Sheeran & Taylor Swift]
There's been this hole in my heart
This thing was a shot in the dark
Say you'll never let 'em tear us apart
And I'll hold onto you while we run (And we run, and we run, and we run)

[Chorus: Taylor Swift & Ed Sheeran]
Like you'd run from the law (And we run, and we run, and we run)
Darling, let's run (And we run, and we run, and we run)
Run from it all (And we run, and we run, and we run)
We can go where our eyes can take us (And we run, and we run, and we run)
Go where no one else is, run (And we run, and we run, and we run)
Ooh, we'll run (And we run, and we run, and we run)
Ooh, we'll run (And we run, and we run, and we run)
Ooh, we'll run (And we run, and we run, and we run)
Ooh, and we'll run"
